A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
M-16-17,Hold very still while I remove the foreign body in your eye.,sakan RaaSak o ‘ayneek elayn nagla’ Thee iTaRveh min ‘ayneek,سكن راصك وعينيك إلين نكٌلع ذي أطرفَ من عينكْ.
M-17-01,Does this feel normal?,Tha yoozha’?,ذ يوجعْ؟
M-17-02,Do this.,‘adel ibThee iSeeveh,عدل بذي أصيفَ.
M-17-03,Move your toes.,HaRik iSbi’ ikRaa’ak,حرك صبع أكراعكْ.
M-17-04,Do you have numbness or tingling?,Raagid minak iblad wala veek wakleh?,راكٌد منك أبلد وللَ فيك وكله؟
M-17-05,Where do you feel the numbness or tingling?,waynhowa bil imnayn Raagid minak o bil imnayn yooklak?,وينهو بل أمنين راكٌد منك وبل أمنين يوكلكْ؟
M-17-06,Did the numbness or tingling start today?,Thee iRgaad o Thee il wakleh bad-o i’leek il yoom?,ذي الركٌاد وذي الوكله بدأو أعليك اليوم؟
M-17-07,How many days have you had the numbness or tingling?,kam min yoom ‘aad lak tiRgid minak Thee liblaaSeh o itzheek il wakleh?,كم من يوم عاد لك تركٌد منك ذي لبلاصه وأتجيك الوكله؟
M-17-08,Do you feel weak?,Haas b inak maa veek il qoweh?,حاس ب أنك مافيك القوه؟
M-17-09,Did the weakness start today?,gilit il qoweh bad-it i’leek il yoom?,كٌلتْ القوه بدأت أعليكْ اليوم؟
M-17-10,How many days have you had the weakness?,kam min yoom ‘aad lak Haas b gilit il qoweh?,كم من يوم عاد لك حاسْ ب كٌلتْ القوه؟
M-18-01,Bend your arm.,ilwee zandak,ألوي زندكْ.
M-18-02,Bend your leg.,ilwee Saagak,ألوي صاكٌك.
M-18-03,Breathe normally.,itnafas tanafos ‘aadee,أتنفس تنفس عادي.
M-18-04,Close your eyes.,ghamaTh ‘ayneek,غمظ عينيكْ.
M-18-05,Close your hand.,kamish eydak,كمش أيدكْ.
M-18-06,Close your mouth.,igval vomak,أقٌفل فمكْ.
M-18-07,Cough.,kiH,كحْ.
M-18-08,Cough some phlegm into this cup.,kiH o in’atlee il balgham v Tha il kaas,كح وأنعتلي البلغم ف ذ الكاسْ.
M-18-09,Hold this under your tongue.,deeR Tha taHt il saanak,دير ذ تحت ألسانكْ.
M-18-10,Hold your breath.,Rid veek invas,ردْ فيك أنفسْ.
M-18-12,Lie flat.,itkee i’la ThahRak,أتكي أعل ظهرك.
M-18-13,Lie on your abdomen.,itkee i’la kiRshak,أتكي أعل كرشك.
M-18-14,Lie on your back.,itkee i’la ThahRak,أتكي أعل ظهركْ.
M-18-15,Look at my finger as it moves.,KhaRaS HaRkit Sib’ee,خرص حركة صبعي.
M-18-16,Look down.,KhaRaS itaHit,خرص اتحتْ.
M-18-17,Look straight.,KhaRaS il gidaam,خرص ألقٌدام.
M-18-18,Look up.,KhaRaS il vog,خرص ألفوقٌ.
M-18-19,Open.,ivtaH,أفتح.
M-18-20,Open your eyes.,Hil ‘ayneek,حل عينيك.
M-18-21,Open your hand.,Hil aydak,حل أيدكْ.
M-18-22,Open your mouth.,Hil vomak,حل فمكْ.
M-18-23,Push here.,intiR hon,أنترْ هون.
M-18-24,Sit down.,ig’id itaHt,أقٌعدْ اتحتْ.
M-18-25,Sit up.,ig’id il vog,أقٌعد الفوقٌ.
M-18-26,Squeeze here.,i’SiR hon,أعصر هون.
M-18-27,Stand on the scale.,ogev i’la il meezaan,أوقٌف أعلَ الميزان.
M-18-28,Stand up.,ogev il vog,أوقٌف الفوقٌ.
M-18-29,Take a deep breath in and out.,itnafas Hateh in nagaR o il gidaam,أتنفس حتَ أنكٌر والقٌدامْ.
M-18-30,Touch my finger with this finger.,mis Sib’ee ibSib’ak haaTha,مس صبعي أبصبعك هاذَ.
M-18-31,Touch your finger to your nose like this.,deeR Sib’ak i’la iKhnaavRak ibThee iSeeveh,دير صبعك أعل أخنافرك بذي أصيفَ.
M-18-32,Turn around.,itgalab i’la iz ziR lawKhaR,أتكٌلبْ أعل الزرْ لوخرْ.
M-18-33,Turn onto this side.,itgalab i’la Thee izheeheh,أتكٌلب أعلَ ذي أجيهَ.
M-18-34,Walk like this.,goTaR ibThee iSeeveh,كٌوطر بذي أصيفَ.
M-18-35,Walk towards me.,goTaR zhaay i’la zheehtee,كٌوطر جاي أعل جيهتي.
M-18-36,You need an X-ray of your chest.,yaalit yo’adilak Raadjo il gaashooshak,يالتْ يوعدلك رادو ألكٌاشوشكْ.
M-19-01,Can I do anything to help you?,vem shee miHtaazh lo ingid in’aawnok veeh?,فم شي محتاجْ لو أنكٌد أنعاونكْ فيه؟
M-19-02,Come with me.,wahaay im’aayeh,وهاي أمعايَ.
M-19-03,I will try not to hurt you.,indoR inHaawil maa inwazha’lak,أندور أنحاول ما أنوجعلك.
M-19-04,I am going to lift you.,laahee niRivdak,لاهِ نرفدكْ.
M-19-05,I am going to put a needle in your arm to give you medication.,laahee indeeR lak dageh v iThRaa’ak veeha idweh,لاهِ أندير لك دكٌه ف أذراعك فيها ادوَ.
M-19-06,I am sorry I hurt you.,ismaHlee wazha’itlak,أسمحلي وجعتلكْ.
M-19-07,I must adjust the tube in your chest.,,
M-19-08,I must change your dressings.,yaaltee inbadilak ip paaSmeh,يالتي أنبد لك أباصمَه .
M-19-09,I must cut your hair.,yaaltee inHasnak,يالتي أنحسنك .
M-19-10,I must give you a shave.,yaaltee nigla’ lak,يالتي نكٌلع لك .
M-19-11,I must give you a suppository into your rectum.,yaaltee na’Teek kapSooleh itzhee veek v bel imnayn tahDham,يالتي نعطيك كبصوله أتجي فيك ف بل أمنين تهضمْ.
M-19-12,I must give you an injection with a needle.,yaaltee na’Teek dageh b ibReh,يالتي نعطيك أدكٌه ب أبرَ .
M-19-13,I must make your bed.,yaaltee in naaThiR lak mitkaak,يالتي أناظر لك متكاكْ .
M-19-14,I must wash your hair.,yaaltee naSgil lak RaaSak,يالتي نصكٌل لك راصكْ .
M-19-15,I will help you dress.,laahee in’aawnak tilbis ilbaasak,لاهِ أنعاونك تلبس ألباسكْ.
M-19-16,I will help you undress.,laahee in’aawnak tivsaKh ilbaasak,لاهِ أنعاونكْ تفسخ ألباسكْ.
M-19-17,Put the gown on.,ilbis id diRaa’a,ألبس أدراعَ.
M-19-18,Put your arms around my shoulders.,deeR eydeek i’la iktaavee,دير أيديكْ أعلَ أكتافي.
M-19-19,This medicine will take the pain away.,haaTha idweh idoR imashee il alam,هاذ أدوَ إدور إمشي الألمْ.
M-19-20,This will help you feel better.,haaTha idweh idoR yanva’ak,هاذ أدوَ إدور ينفعكْ.
M-19-21,Would you like more?,tibqee shee awKhaR?,تبقي شي أوخرْ؟
M-20-01,Everything will be done to make you feel better again.,laahee in’adloolak Thaak kaamil ilee igid yo’adal eeyaak tibRa,لاهِ أنعدلولك ذاك كامل اللي إكٌد يُعدل أياك تبرَ.
M-20-02,You are only slightly wounded.,veek ilaa zhiRoH ‘aadee,فيك ألا جرح عادي.
M-20-03,You will soon be up again.,idoR itgoom igRayib,أدور أتقٌوم أكٌريبْ.
M-20-04,"Your condition is serious, but you will get better.",Tha ilKhaalig lak imteen yaghayR idoR tit’aaveh,ذ ألخالكٌ لك أمتين يغير أدور تتعافَ.
M-20-05,You will get better if you let us take care of you.,idoR it’ood ashbeh elayn itKhaleeneh na’Rovoolak shee,أدور أتعود اشبه إلين أتخلينَ نعرفولك شي.
M-20-06,You are seriously hurt.,inta ma’Toob Hateh,أنت معطوب حتَ.
M-20-07,You are seriously ill.,inta maReeDh Hateh,أنت مريض حتَ.
M-20-08,It will probably take a long time for you to get better.,maHaqa ‘anak miHtaazh il yaasiR min il waqit eeyaak tibRa,محقَ عنك محتاج أل ياسر من الوقت اياك تبرَ.
M-20-09,The surgery was successful.,il ‘amaleeyeh nizhHit,العمليه نجحتْ.
M-20-10,We were able to help you.,gadayneh in’aawnook,كٌدّينَ أنعاونوكْ.
M-20-11,We had to remove this.,kaan ivRoTh a’leeneh nigil’o haaTha,كان فرظ أعلينَ نكٌلعو هاذَ.
M-20-12,"We tried, but we could not save this.",Haawilneh yaghayR maa gadayneh insalko Tha,حاولنَ يغير ما كٌدينَ أنسلكو ذّ.
M-20-13,You were hurt very badly.,kint ma’Toob Hateh,كنت معطوب حتَ.
M-20-15,You will need time to heal.,miHtaazh lil waqit eeyaak tabRa,محتاج للوقت أياك تبرَ.
M-20-16,We will arrange for your transport back to your country.,laahee nitbaaRko im’a izhRaa-at savaRak shoR doltak,لاهِ أنتباركو مع إجراءات سفرك شور دولتك.
M-20-17,We will send you to another place.,indoR inmashook shoR iblaaSeh iKhRah,أندور انمشوك شور أبلاصهَ أخرَ.
M-20-18,You need more care.,KhaaSak Had ya’Rav lak shee,خاصكْ حد يعرف لك شي.
M-20-19,You will return to your unit when you are better.,idoR taRzha’ il Sangtak elayn tabRa,أدور ترجع الصنكٌتكْ إلين تبرَ.
M-20-20,I will be back soon.,indoR naRzha’ bil ‘azhleh,أندور نرجع بلعجله.
M-20-21,I will check back later to see how you are doing.,indoR naRzha’ waqit oKhaR inshowv inta shimaasee,أندور نرجع وقت أوخر انشوف أنت شمُاسي.
M-20-22,Return tomorrow so we can be sure you get better.,iRzha’ iS SibiH eeyaak nit-akdo ‘anak ibRayt,أرجع أصبح أياك نتأكدو عنك أبريتْ.
M-20-23,Return in one week so we can be sure you get better.,iRzha’ ‘aagib isboo’ eeyaak nit-akdo ‘anak ibRayt,أرجع عاكٌب أسبوع أياك نتأكدو عنك أبريتْ.
M-21-01,Do you have any of the following problems?,‘indak shee min haaThee il mashaakil ilee laahee ingoolak?,عندكْ شي من هاذُ المشاكلْ أللي لاهِ أنكٌول لكْ؟
M-21-02,Abdominal pain,awzhee’ il kiRsh,أوجيع الكرشْ
M-21-03,Back pain,awzhee’ iTh-haR,أوجيع الظهر
M-21-04,Bleeding from anywhere,maashee minak dam min ay iblad,ماشي منك دم من أي بلد
M-21-05,Bloody sputum,titnaKham id dam,تتنخمْ ادمْ
M-21-06,Bloody stools,tig’id i’la id dam,تكٌعد أعلَ ادم
M-21-07,Chest pain,awzhee’ il gaashoosh,أوجيع الكٌاشوشْ
M-21-08,Chills,libRood,لبرودْ
M-21-09,Confusion inside your head,tiKhbaaz v RaaSak,تخباز ف راصكْ
M-21-10,Cough,il kaHa,ألكحَ
M-21-11,Cramps,awzhee’ il kiRsh,أوجيع الكرشْ
M-21-12,Dark urine,bol ‘aagid,بولْ عاكٌدْ
M-21-13,Diarrhea,izhawv,أجوْف
M-21-14,Ear pain,awzhee’ il wiThnayn,أوجيع لوذنْينْ
M-21-15,Fever,il Himeh,الحمه
M-21-16,Headache,awzhee’ iR RaaS,أوجيع اراصْ
M-21-17,Hemorrhoids,il bowaasiR,ألبواسِر
M-21-18,Infection,shee yi’dee,شي يعدي
M-21-19,Insect bite,‘aTh in naamoos,عظْ الناموسْ
M-21-20,Itching,il Hikeh,الحكه
M-21-21,Joint pain,awzhee’ limvaaSil,أوجيع المفاصل
M-21-22,Menstrual cramps,awzhee’ aSfaag,أوجيع أصفاقٌ
M-21-24,Muscle pains,awzhee’ li’Thaam,أوجيع لعظام
M-21-25,Nausea,shayn laKhlaag,شين لخلاقٌ
M-21-26,Rash,il Hab,الحَب
M-21-27,Throat pain,awzhee’ il Halig,أوجيع ألحلقٌ
M-21-28,Tooth pain,awzhee’ is sinayn,أوجيع أسنينْ
M-21-29,Yellow eyes,‘ayneen SoviR,عينين صفر
M-21-30,Vaginal bleeding,dam il HayDh,دم الحيضْ
M-21-31,Voices inside your head,aSwaat nagiR RaaSak,أصوات نكٌر راصكْ
M-21-32,Vomiting,igThaav,أقٌذافْ
M-22-01,I need to give you some medicine.,yaaltee ni’Teek shee min idweh,يالتي نعطيك شي من أدوَ .
M-22-02,This medicine is for pain.,haaTha idweh lil alam,هاذ ادوّ ل الألمْ.
M-22-03,This medicine will fight infection.,haaTha idweh yiqDhee i’la il ‘adweh,هاذ أدوَ يقضي أعلَ العدوَ.
M-22-04,Avoid alcohol while taking medicine.,‘is min ishRaab il koHool waqit igbeeTh idweh,عس من أشراب الكحولْ وقتْ أكٌبيظ أدوَ.
M-22-05,Take until finished.,gibTho elayn yivRagh,كٌبظُو إلين يفرغْ.
M-22-06,Take with food.,‘amlo im’a lowkeel,عملو مع لوكيل.
M-22-07,Take on an empty stomach (one hour before or two hours after a meal).,igbiTho i’la liKhweh (saa’a saabig iT’aam wala saa’tayn ‘aagbo),أكٌبظو أعل لخوَ (ساعه سابقٌ الطعام وللَ ساعتين عاكٌبو.)
M-22-08,Drink plenty of fluids.,kathaR min ishRaab,كثر من أشراب.
M-22-09,Avoid taking at the same time as dairy products.,‘is min igbeeTho v navis il waqit im’a shee veeh il liben,عسْ من أكٌبيظو ف نفس الوقتْ مع شي فيه أللبنْ.
M-22-10,This medicine may change the color of urine or stool.,haaTha idweh igid yeghayaR lawn il bol wala lig’aad,هاذ أدوَ إيكٌد يغير لون البول وللَ لكٌعادْ.
M-22-11,Avoid sunlight.,‘is min ish shamis,عسْ من الشمس.
M-22-12,Shake well.,KhoTh Hateh,خظُ حتَ.
M-22-13,Refrigerate (do not freeze).,baRid (laa itgalaS),برّد (لا أتكٌلصْ.)
M-22-14,May cause heat injury.,igid isabib HaRaaRa,إيكٌد إسبب حراره.
M-22-15,May cause drowsiness (avoid using dangerous machinery).,igid isabib in’aas (‘is min istiKhdaam il makaayin il KhaTeeRaat),إيكٌد إسبب أنعاسْ (عسْ من أستخدام المكاين الخطيرات.)
M-22-16,Take by mouth.,igbaTh b vomak,أكٌبظُ ب فمكْ.
M-22-17,Place drops in affected ear.,gaTaR gaTRah v loThin ilee toozh’ak,كٌطر كٌطره ف لوذن اللي توجعكْ.
M-22-18,Inject subcutaneously.,dig taHt izh zhil,دكٌ تحتْ أجلْ.
M-22-19,Unwrap and insert one suppository rectally.,,
M-22-20,Spray in nose.,boKh v liKhnaaviR,بخ ف الخنافرْ.
M-22-21,Inhale by mouth.,itnafas ibvomak,أتنفس أبفُمكْ.
M-22-22,Insert vaginally.,deeReeha min bil il bol,ديريه من بل البولْ.
M-22-23,Place in affected eye.,deeReeha v il ‘ayn il toozha’,ديريه ف العين ألتوجع.
M-22-24,Apply to skin.,deeRo i’la izh zhil,ديرو أعلَ أجلْ.
M-22-25,Allow to dissolve under tongue without swallowing (sublingual).,Khaleeh iThoob taHit il saan o laa tiSiRTo,خليه إذوب تحت أللسان ولا تصرطو.
M-22-26,Tablet,Habeh,حَب
M-22-27,Capsule,kapSool,كبصولْ
M-22-28,Teaspoonful,maleet kido,مليت كدّو
M-22-29,Ounce,ithlaatheen mileeleetaR,أثلاثينْ ميلليتر
M-22-30,Puff,boKh,بخ
M-22-31,Spray,Rash,رش
M-22-32,Patch,laSag,لصقٌ
M-22-33,Drop,gaTaR,كٌطرْ
M-22-34,Suppository,min lowRah,من لوْرَ
M-22-35,Once daily,maRa waHdeh linhaaR,مرَ وحده للنهار
M-22-36,Twice daily,maRtayn linhaaR,مرتين للنهار
M-22-37,Three times daily,ithlit maRaat linhaaR,ثلت مرات للنهار
M-22-38,Four times daily,aRba’ maRaat linhaaR,أربع مرات للنهار
M-22-39,Five times daily,iKhmis maRaat linhaaR,أخمس مرات للنهار
M-22-40,Every twelve hours,,
M-22-41,Every eight hours,min kil ithman saa’aat,من كل أثمن ساعاتْ
M-22-42,Every four hours,min kil aRba’ saa’aat,من كل أربع ساعاتْ
M-22-43,Every two hours,min kil saa’tayn,من كل ساعتينْ
M-22-44,Every hour,min kil saa’a,من كل ساعه
M-22-45,Every morning,kil SobHaayeh,كل صبحايَ
M-22-46,Every night,kil layleh,كل ليله
M-22-47,For one week,il modit isboo’,ألمدةْ أسبوعْ
M-22-48,For one month,il modit ish-haR,ألمدةْ أشهر
M-22-49,Today,il yoom,اليوم
M-22-50,Now,ThaRk,ظركْ
M-22-51,Tomorrow,iSobiH,أصبح
M-22-52,As needed,ilaa niHtaazh lo,إلا نحتاج لو
M-22-53,Pain,il alam,الالمْ
M-22-54,Fever,il Himeh,ألحمَه
M-22-55,Infection,shee yi’dee,شي يعدي
M-22-56,Difficulty breathing,So’oobeh v it tanafos,صعوبه ف أتنفسْ
M-22-57,Blood pressure,DhaghiT id dam,ضغط الدم
M-22-58,High cholesterol,kolostoRool Raagib,كولسترول راكٌب
M-22-59,Allergies,Hasaaseeyeh,حساسيه
M-22-60,Allergic reaction,Radit vi’il Hasaaseeyeh,ردة فعل حساسيه
M-22-61,"Upset stomach, nausea, vomiting","awzhee’ il kiRsh, shayn laKhlaag, ligThaav",أوجيع الكرش، شين لخلاقٌ، لقٌذاف
M-22-62,"Depression, sadness","liktee-aab, il kadaR",لكتئاب، الكدر
M-22-63,Congestion,it tighlaag,أتغلاقٌ
M-22-64,Cough,il kaHa,الكحه
M-22-65,Chest pressure,DhaghiT il gaashoosh,ضغط ألكٌاشوش
M-22-66,Seizure,ligReeneh,لقٌرينهَ
M-22-67,Insomnia,il aRaq,الأرقْ
M-22-68,Discard remainder when finished.,laa eewaRTak il baagee elayn yawveh Tha,لا أيورطك الباقٌي إلين يوفَ ذَ.
M-22-69,Apply a thin layer to skin.,imsaH ishway i’la izh zhil,امسح اشوي أعل أجلْ.
M-22-70,Do you understand?,vaahim?,فاهمْ؟
M-22-71,1,waaHid,واحد
M-22-72,2,ithnayn,اثنين
